id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
SE;SUDESTE;2024-03-08;204615.328125;132716.875;64.86160278
S;SUL;2024-03-08;20459.2421875;13862.90722656;67.75869751
NE;NORDESTE;2024-03-09;51691.2265625;35463.71875;68.60679626
N;NORTE;2024-03-09;15302.39648438;13467.87792969;88.01159668
SE;SUDESTE;2024-03-09;204615.328125;133108.859375;65.05319977
S;SUL;2024-03-09;20459.2421875;14164.2421875;69.23149872
NE;NORDESTE;2024-03-10;51691.2265625;35599.015625;68.86859894
N;NORTE;2024-03-10;15302.39648438;13597.02148438;88.85549927
SE;SUDESTE;2024-03-10;204615.328125;133600.4375;65.29350281
S;SUL;2024-03-10;20459.2421875;14438.421875;70.57160187
NE;NORDESTE;2024-03-11;51691.2265625;35724.27734375;69.11090088
N;NORTE;2024-03-11;15302.39648438;13721.02636719;89.66590118
SE;SUDESTE;2024-03-11;204615.328125;133825.84375;65.4036026
S;SUL;2024-03-11;20459.2421875;14544.77539063;71.09149933
NE;NORDESTE;2024-03-12;51691.2265625;35866.9609375;69.38690186
N;NORTE;2024-03-12;15302.39648438;13821.49804688;90.32240295
SE;SUDESTE;2024-03-12;204615.328125;133873.96875;65.42710114
S;SUL;2024-03-12;20459.2421875;14561.05273438;71.17099762
NE;NORDESTE;2024-03-13;51691.2265625;35975.4140625;69.59680176
N;NORTE;2024-03-13;15302.39648438;13918.15429688;90.95410156
SE;SUDESTE;2024-03-13;204615.328125;133944.0625;65.46140289
S;SUL;2024-03-13;20459.2421875;14513.78320313;70.94000244
NE;NORDESTE;2024-03-14;51691.2265625;36078.4921875;69.79620361
N;NORTE;2024-03-14;15302.39648438;14016.53613281;91.59700012
SE;SUDESTE;2024-03-14;204615.328125;133963.03125;65.47070313
S;SUL;2024-03-14;20459.2421875;14423.52734375;70.49880219
NE;NORDESTE;2024-03-15;51691.2265625;36162.921875;69.95950317
N;NORTE;2024-03-15;15302.39648438;14129.83398438;92.33740234
SE;SUDESTE;2024-03-15;204615.328125;133922.609375;65.45089722
S;SUL;2024-03-15;20459.2421875;14301.59375;69.9029007
NE;NORDESTE;2024-03-16;51691.2265625;36204.9375;70.040802
N;NORTE;2024-03-16;15302.39648438;14235.51464844;93.02799988
SE;SUDESTE;2024-03-16;204615.328125;133942.390625;65.46060181
S;SUL;2024-03-16;20459.2421875;14262.41503906;69.71140289
NE;NORDESTE;2024-03-17;51691.2265625;36248.13671875;70.12439728
N;NORTE;2024-03-17;15302.39648438;14303.45019531;93.47200012
SE;SUDESTE;2024-03-17;204615.328125;133989.609375;65.48370361
S;SUL;2024-03-17;20459.2421875;14309.53125;69.94159698
NE;NORDESTE;2024-03-18;51691.2265625;36292.8359375;70.21080017
N;NORTE;2024-03-18;15302.39648438;14365.67675781;93.87860107
SE;SUDESTE;2024-03-18;204615.328125;133822.8125;65.40209961
S;SUL;2024-03-18;20459.2421875;14261.47167969;69.70670319
NE;NORDESTE;2024-03-19;51691.2265625;36377.703125;70.375
N;NORTE;2024-03-19;15302.39648438;14445.18164063;94.39820099
SE;SUDESTE;2024-03-19;204615.328125;133807.046875;65.39440155
S;SUL;2024-03-19;20459.2421875;14162.79785156;69.22450256
NE;NORDESTE;2024-03-20;51691.2265625;36465.9921875;70.54579926
N;NORTE;2024-03-20;15302.39648438;14504.01855469;94.78269958
SE;SUDESTE;2024-03-20;204615.328125;133852.375;65.41660309
S;SUL;2024-03-20;20459.2421875;14067.92675781;68.76069641
NE;NORDESTE;2024-03-21;51691.2265625;36518.625;70.64759827
N;NORTE;2024-03-21;15302.39648438;14505.34472656;94.79129791
SE;SUDESTE;2024-03-21;204615.328125;133973.65625;65.47589874
S;SUL;2024-03-21;20459.2421875;13984.8359375;68.354599
NE;NORDESTE;2024-03-22;51691.2265625;36579.63671875;70.76570129
N;NORTE;2024-03-22;15302.39648438;14512.94042969;94.84100342
SE;SUDESTE;2024-03-22;204615.328125;134278.140625;65.62470245
S;SUL;2024-03-22;20459.2421875;13901.82324219;67.94889832
NE;NORDESTE;2024-03-23;51691.2265625;36653.234375;70.90799713
N;NORTE;2024-03-23;15302.39648438;14479.05957031;94.61959839
SE;SUDESTE;2024-03-23;204615.328125;134979.9375;65.96769714
S;SUL;2024-03-23;20459.2421875;13920.875;68.04199982
NE;NORDESTE;2024-03-24;51691.2265625;36722.5703125;71.04219818
N;NORTE;2024-03-24;15302.39648438;14477.43652344;94.60900116
SE;SUDESTE;2024-03-24;204615.328125;135663.171875;66.3015976
S;SUL;2024-03-24;20459.2421875;13986.21582031;68.36139679
NE;NORDESTE;2024-03-25;51691.2265625;36827.3046875;71.24479675
N;NORTE;2024-03-25;15302.39648438;14479.56347656;94.62280273
SE;SUDESTE;2024-03-25;204615.328125;136239.171875;66.58309937
S;SUL;2024-03-25;20459.2421875;13949.70410156;68.18289948
NE;NORDESTE;2024-03-26;51691.2265625;36970.99609375;71.52279663
N;NORTE;2024-03-26;15302.39648438;14431.11523438;94.30619812
SE;SUDESTE;2024-03-26;204615.328125;136886.171875;66.89929962
S;SUL;2024-03-26;20459.2421875;13832.87011719;67.61180115
NE;NORDESTE;2024-03-27;51691.2265625;37118.5234375;71.80819702
N;NORTE;2024-03-27;15302.39648438;14407.20214844;94.15000153
SE;SUDESTE;2024-03-27;204615.328125;137793.25;67.34259796
S;SUL;2024-03-27;20459.2421875;13751.91210938;67.2161026
NE;NORDESTE;2024-03-28;51691.2265625;37233.34375;72.03029633
N;NORTE;2024-03-28;15302.39648438;14442.14746094;94.37830353
SE;SUDESTE;2024-03-28;204615.328125;138877.625;67.87249756
S;SUL;2024-03-28;20459.2421875;13683.27441406;66.88059998
NE;NORDESTE;2024-03-29;51691.2265625;37356.68359375;72.26889801
N;NORTE;2024-03-29;15302.39648438;14515.04980469;94.85479736
SE;SUDESTE;2024-03-29;204615.328125;140102.203125;68.47100067
S;SUL;2024-03-29;20459.2421875;13729.92382813;67.10870361
NE;NORDESTE;2024-03-30;51691.2265625;37513.4921875;72.57230377
N;NORTE;2024-03-30;15302.39648438;14509.65234375;94.81950378
SE;SUDESTE;2024-03-30;204615.328125;141200.0;69.00749969
S;SUL;2024-03-30;20459.2421875;13738.94238281;67.15270233
NE;NORDESTE;2024-03-31;51691.2265625;37629.17578125;72.7960968
N;NORTE;2024-03-31;15302.39648438;14479.23925781;94.62069702
SE;SUDESTE;2024-03-31;204615.328125;142121.46875;69.457901
S;SUL;2024-03-31;20459.2421875;13756.73925781;67.23970032
NE;NORDESTE;2024-04-01;51691.2265625;37738.4453125;73.00740051
N;NORTE;2024-04-01;15302.39648438;14447.66699219;94.41439819
SE;SUDESTE;2024-04-01;204615.328125;142759.765625;69.76979828
S;SUL;2024-04-01;20459.2421875;13576.49511719;66.35870361
NE;NORDESTE;2024-04-02;51691.2265625;37903.09765625;73.3259964
N;NORTE;2024-04-02;15302.39648438;14446.86621094;94.40920258
SE;SUDESTE;2024-04-02;204615.328125;143341.109375;70.05390167
S;SUL;2024-04-02;20459.2421875;13320.89257813;65.10939789
NE;NORDESTE;2024-04-03;51691.2265625;38071.0390625;73.65090179
N;NORTE;2024-04-03;15302.39648438;14444.11035156;94.3911972
SE;SUDESTE;2024-04-03;204615.328125;143876.703125;70.31569672
S;SUL;2024-04-03;20459.2421875;13052.37011719;63.7969017
NE;NORDESTE;2024-04-04;51691.2265625;38266.2109375;74.02839661
N;NORTE;2024-04-04;15302.39648438;14429.88183594;94.29820251
SE;SUDESTE;2024-04-04;204615.328125;144186.84375;70.46730042
S;SUL;2024-04-04;20459.2421875;12791.51660156;62.52190018
NE;NORDESTE;2024-04-05;51691.2265625;38479.82421875;74.4417038
N;NORTE;2024-04-05;15302.39648438;14456.41015625;94.47149658
SE;SUDESTE;2024-04-05;204615.328125;144516.46875;70.62840271
S;SUL;2024-04-05;20459.2421875;12568.57421875;61.43230057
NE;NORDESTE;2024-04-06;51691.2265625;38690.0390625;74.8483963
N;NORTE;2024-04-06;15302.39648438;14511.22363281;94.82980347
SE;SUDESTE;2024-04-06;204615.328125;145023.640625;70.87619781
S;SUL;2024-04-06;20459.2421875;12475.66699219;60.97809982
NE;NORDESTE;2024-04-07;51691.2265625;38887.58984375;75.23049927
N;NORTE;2024-04-07;15302.39648438;14570.56347656;95.21749878
SE;SUDESTE;2024-04-07;204615.328125;145525.1875;71.12139893
S;SUL;2024-04-07;20459.2421875;12475.1796875;60.97579956
NE;NORDESTE;2024-04-08;51691.2265625;39070.8515625;75.58509827
N;NORTE;2024-04-08;15302.39648438;14579.77636719;95.27770233
