din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-04 08:00:00;SE;SUDESTE;S;SUL;2499.221
2025-01-04 09:00:00;N;NORTE;NE;NORDESTE;-2845.426
2025-01-04 09:00:00;N;NORTE;SE;SUDESTE;1963.04
2025-01-04 09:00:00;NE;NORDESTE;SE;SUDESTE;3584.788
2025-01-04 09:00:00;SE;SUDESTE;S;SUL;1362.391
2025-01-04 10:00:00;N;NORTE;NE;NORDESTE;-3067.498
2025-01-04 10:00:00;N;NORTE;SE;SUDESTE;2404.455
2025-01-04 10:00:00;NE;NORDESTE;SE;SUDESTE;3238.978
2025-01-04 10:00:00;SE;SUDESTE;S;SUL;1268.026
2025-01-04 11:00:00;N;NORTE;NE;NORDESTE;-3337.332
2025-01-04 11:00:00;N;NORTE;SE;SUDESTE;2363.813
2025-01-04 11:00:00;NE;NORDESTE;SE;SUDESTE;3048.261
2025-01-04 11:00:00;SE;SUDESTE;S;SUL;1153.017
2025-01-04 12:00:00;N;NORTE;NE;NORDESTE;-3349.256
2025-01-04 12:00:00;N;NORTE;SE;SUDESTE;2254.156
2025-01-04 12:00:00;NE;NORDESTE;SE;SUDESTE;2710.128
2025-01-04 12:00:00;SE;SUDESTE;S;SUL;685.231
2025-01-04 13:00:00;N;NORTE;NE;NORDESTE;-3401.514
2025-01-04 13:00:00;N;NORTE;SE;SUDESTE;2110.054
2025-01-04 13:00:00;NE;NORDESTE;SE;SUDESTE;2301.887
2025-01-04 13:00:00;SE;SUDESTE;S;SUL;201.342
2025-01-04 14:00:00;N;NORTE;NE;NORDESTE;-3346.277
2025-01-04 14:00:00;N;NORTE;SE;SUDESTE;2183.65099999
2025-01-04 14:00:00;NE;NORDESTE;SE;SUDESTE;2368.823
2025-01-04 14:00:00;SE;SUDESTE;S;SUL;296.169
2025-01-04 15:00:00;N;NORTE;NE;NORDESTE;-2603.655
2025-01-04 15:00:00;N;NORTE;SE;SUDESTE;2075.599
2025-01-04 15:00:00;NE;NORDESTE;SE;SUDESTE;1974.888
2025-01-04 15:00:00;SE;SUDESTE;S;SUL;508.022
2025-01-04 16:00:00;N;NORTE;NE;NORDESTE;-1461.546
2025-01-04 16:00:00;N;NORTE;SE;SUDESTE;2568.411
2025-01-04 16:00:00;NE;NORDESTE;SE;SUDESTE;2279.74899999
2025-01-04 16:00:00;SE;SUDESTE;S;SUL;1071.029
2025-01-04 17:00:00;N;NORTE;NE;NORDESTE;-575.90599999
2025-01-04 17:00:00;N;NORTE;SE;SUDESTE;3861.236
2025-01-04 17:00:00;NE;NORDESTE;SE;SUDESTE;3231.534
2025-01-04 17:00:00;SE;SUDESTE;S;SUL;2051.338
2025-01-04 18:00:00;N;NORTE;NE;NORDESTE;-26.258
2025-01-04 18:00:00;N;NORTE;SE;SUDESTE;5000.779
2025-01-04 18:00:00;NE;NORDESTE;SE;SUDESTE;2783.015
2025-01-04 18:00:00;SE;SUDESTE;S;SUL;1105.213
2025-01-04 19:00:00;N;NORTE;NE;NORDESTE;-548.229
2025-01-04 19:00:00;N;NORTE;SE;SUDESTE;6825.025
2025-01-04 19:00:00;NE;NORDESTE;SE;SUDESTE;3626.501
2025-01-04 19:00:00;SE;SUDESTE;S;SUL;1398.252
2025-01-04 20:00:00;N;NORTE;NE;NORDESTE;-696.577
2025-01-04 20:00:00;N;NORTE;SE;SUDESTE;7144.384
2025-01-04 20:00:00;NE;NORDESTE;SE;SUDESTE;3126.331
