id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
SE;SUDESTE;2024-02-17;38565.19140625;54.39789963;38165.1875;53.83369827
N;NORTE;2024-02-18;16626.97070313;72.89129639;16518.55273438;72.41600037
NE;NORDESTE;2024-02-18;9845.296875;69.14659882;9845.296875;69.14659882
S;SUL;2024-02-18;8702.75195313;105.21070099;8259.3515625;99.85019684
SE;SUDESTE;2024-02-18;40141.265625;56.62110138;39191.66796875;55.28160095
N;NORTE;2024-02-19;16889.78515625;74.04350281;16817.08789063;73.72480011
NE;NORDESTE;2024-02-19;9873.33496094;69.34349823;9873.33496094;69.34349823
S;SUL;2024-02-19;8978.34765625;108.54239655;8609.32421875;104.08119965
SE;SUDESTE;2024-02-19;41683.84765625;58.7969017;41227.453125;58.15319824
N;NORTE;2024-02-20;17383.95507813;76.2098999;17331.90039063;75.98169708
NE;NORDESTE;2024-02-20;10336.78417969;72.5983963;10336.78417969;72.5983963
S;SUL;2024-02-20;9124.79589844;110.31289673;8808.83789063;106.49320221
SE;SUDESTE;2024-02-20;44245.22265625;62.40990067;43837.19140625;61.83430099
N;NORTE;2024-02-21;17721.26757813;77.68869781;17667.41796875;77.45259857
NE;NORDESTE;2024-02-21;10886.83007813;76.46160126;10776.00488281;75.68319702
S;SUL;2024-02-21;8881.29785156;107.36920166;8638.44824219;104.4332962
SE;SUDESTE;2024-02-21;49165.05859375;69.34950256;47689.6484375;67.2684021
N;NORTE;2024-02-22;18030.203125;79.04299927;18007.58789063;78.94390106
NE;NORDESTE;2024-02-22;11674.26367188;81.99199677;11225.24414063;78.83840179
S;SUL;2024-02-22;8146.53515625;98.48639679;7892.15917969;95.41110229
SE;SUDESTE;2024-02-22;53435.61328125;75.37329865;50521.88671875;71.26339722
N;NORTE;2024-02-23;18473.67578125;80.98719788;17983.50585938;78.83830261
NE;NORDESTE;2024-02-23;11613.56152344;81.56569672;11341.86230469;79.65740204
S;SUL;2024-02-23;7438.54589844;89.92720032;7260.63916016;87.77649689
SE;SUDESTE;2024-02-23;56389.45703125;79.53980255;51953.94140625;73.28340149
N;NORTE;2024-02-24;18940.56835938;83.03399658;17910.67773438;78.51899719
NE;NORDESTE;2024-02-24;11836.41894531;83.13079834;11242.25390625;78.95780182
S;SUL;2024-02-24;7091.74511719;85.73459625;6966.18603516;84.21669769
SE;SUDESTE;2024-02-24;57573.234375;81.20960236;52313.5234375;73.79060364
N;NORTE;2024-02-25;19250.22070313;84.39150238;17916.75195313;78.54560089
NE;NORDESTE;2024-02-25;12141.66992188;85.27469635;11459.28125;80.48210144
S;SUL;2024-02-25;6958.23486328;84.12059784;6808.79882813;82.31400299
SE;SUDESTE;2024-02-25;56915.44921875;80.28179932;50500.38671875;71.23310089
N;NORTE;2024-02-26;19826.1796875;86.91639709;18517.05273438;81.1772995
NE;NORDESTE;2024-02-26;12217.36914063;85.80639648;11848.42871094;83.21520233
S;SUL;2024-02-26;7168.72900391;86.66529846;7089.29296875;85.70500183
SE;SUDESTE;2024-02-26;55267.43359375;77.9571991;52091.88671875;73.47789764
N;NORTE;2024-02-27;20378.91210938;89.33959961;19343.56835938;84.80069733
NE;NORDESTE;2024-02-27;11841.40625;83.16590118;11714.13574219;82.27200317
S;SUL;2024-02-27;8601.7109375;103.9890976;8476.40234375;102.47419739
SE;SUDESTE;2024-02-27;53091.6484375;74.88809967;50487.58984375;71.21499634
N;NORTE;2024-02-28;20841.6796875;91.36830139;20116.8046875;88.19049835
NE;NORDESTE;2024-02-28;11207.69628906;78.71510315;11204.8359375;78.69499969
S;SUL;2024-02-28;9170.22851563;110.86219788;9025.01757813;109.10669708
SE;SUDESTE;2024-02-28;51126.77734375;72.11660004;48707.7421875;68.70439911
N;NORTE;2024-02-29;20904.68164063;91.64450073;20592.23242188;90.27469635
NE;NORDESTE;2024-02-29;10823.54199219;76.01709747;10823.54199219;76.01709747
S;SUL;2024-02-29;10079.71972656;121.8572998;9702.67480469;117.29910278
SE;SUDESTE;2024-02-29;49178.50390625;69.36849976;46442.66796875;65.5094986
N;NORTE;2024-03-01;20813.96875;77.19950104;20678.8515625;76.6984024
NE;NORDESTE;2024-03-01;10534.90527344;74.4641037;10534.90527344;74.4641037
S;SUL;2024-03-01;9997.58300781;141.48869324;9583.59277344;135.62980652
SE;SUDESTE;2024-03-01;47664.07421875;69.00209808;45153.1875;65.36710358
N;NORTE;2024-03-02;20586.46289063;76.35569763;20544.81835938;76.20120239
NE;NORDESTE;2024-03-02;10237.96191406;72.36530304;10237.96191406;72.36530304
S;SUL;2024-03-02;9310.46679688;131.7644043;9060.96484375;128.23339844
SE;SUDESTE;2024-03-02;46743.6171875;67.66950226;43837.3203125;63.46220016
N;NORTE;2024-03-03;20280.42578125;75.22059631;20217.43359375;74.98699951
NE;NORDESTE;2024-03-03;9721.22265625;68.71279907;9721.22265625;68.71279907
S;SUL;2024-03-03;8744.81152344;123.75910187;8430.9765625;119.31759644
SE;SUDESTE;2024-03-03;45795.78515625;66.29740143;41640.6328125;60.28210068
N;NORTE;2024-03-04;19966.4375;74.05599976;19905.6953125;73.83070374
NE;NORDESTE;2024-03-04;9655.63769531;68.24919891;9655.63769531;68.24919891
S;SUL;2024-03-04;8369.79785156;118.45179749;7982.65917969;112.97290039
SE;SUDESTE;2024-03-04;45425.515625;65.76139832;42696.1484375;61.81010056
N;NORTE;2024-03-05;19587.43359375;72.65029907;19526.38867188;72.42389679
NE;NORDESTE;2024-03-05;10059.07617188;71.10079956;10059.07617188;71.10079956
S;SUL;2024-03-05;8470.58496094;119.87819672;8009.31005859;113.35009766
SE;SUDESTE;2024-03-05;44900.76953125;65.00170135;42250.31640625;61.16469955
N;NORTE;2024-03-06;19262.68945313;71.44580078;19183.78320313;71.15309906
NE;NORDESTE;2024-03-06;10307.98730469;72.86019897;10307.98730469;72.86019897
S;SUL;2024-03-06;9688.41210938;137.11320496;9364.88476563;132.53460693
SE;SUDESTE;2024-03-06;44593.3203125;64.55660248;41137.375;59.55350113
N;NORTE;2024-03-07;18905.88476563;70.12239838;18836.56445313;69.86530304
NE;NORDESTE;2024-03-07;10553.37109375;74.59470367;10553.37109375;74.59470367
S;SUL;2024-03-07;10178.70898438;144.05200195;9855.25585938;139.47439575
SE;SUDESTE;2024-03-07;43935.0703125;63.60369873;40950.18359375;59.28250122
N;NORTE;2024-03-08;18735.98046875;69.49220276;18618.79296875;69.05760193
NE;NORDESTE;2024-03-08;10920.703125;77.19110107;10904.97265625;77.07990265
S;SUL;2024-03-08;12345.359375;174.71510315;12039.75488281;170.3901062
SE;SUDESTE;2024-03-08;43663.1171875;63.20999908;40162.7578125;58.14260101
N;NORTE;2024-03-09;18738.84375;69.50279999;18598.06054688;68.98069763
NE;NORDESTE;2024-03-09;11037.96777344;78.01999664;11037.96777344;78.01999664
S;SUL;2024-03-09;15799.70507813;223.602005;14894.27441406;210.7881012
SE;SUDESTE;2024-03-09;43669.203125;63.21879959;40566.19921875;58.72669983
N;NORTE;2024-03-10;18654.4921875;69.19000244;18460.67382813;68.47109985
NE;NORDESTE;2024-03-10;11052.80957031;78.12490082;11052.80957031;78.12490082
S;SUL;2024-03-10;17072.91796875;241.62080383;15564.37304688;220.27149963
SE;SUDESTE;2024-03-10;43714.99609375;63.28509903;39712.60546875;57.49089813
N;NORTE;2024-03-11;18491.86132813;68.58679962;18209.62304688;67.54000092
NE;NORDESTE;2024-03-11;11022.33691406;77.90950012;11022.33691406;77.90950012
S;SUL;2024-03-11;16105.23242188;227.92590332;14981.11523438;212.0171051
SE;SUDESTE;2024-03-11;43770.98828125;63.36610031;41102.109375;59.50249863
N;NORTE;2024-03-12;18322.23046875;67.95760345;18073.203125;67.03399658
NE;NORDESTE;2024-03-12;10983.90332031;77.63780212;10973.89257813;77.56710052
S;SUL;2024-03-12;14076.11328125;199.209198;13291.69921875;188.10800171
SE;SUDESTE;2024-03-12;43667.9375;63.21699905;41365.63671875;59.88399887
N;NORTE;2024-03-13;18154.3125;67.33480072;17870.8046875;66.28330231
NE;NORDESTE;2024-03-13;10657.95117188;75.33390045;10642.93554688;75.22769928
S;SUL;2024-03-13;12174.72851563;172.30029297;11321.73828125;160.22850037
SE;SUDESTE;2024-03-13;43586.796875;63.09949875;41520.37109375;60.10800171
N;NORTE;2024-03-14;18077.34570313;67.04930115;17502.25976563;64.91629791
NE;NORDESTE;2024-03-14;10213.48144531;72.19219971;10202.04101563;72.11139679
S;SUL;2024-03-14;10700.69140625;151.43930054;10032.29980469;141.97999573
SE;SUDESTE;2024-03-14;43600.37109375;63.11909866;41882.23828125;60.63190079
N;NORTE;2024-03-15;17853.4921875;66.21910095;17086.10351563;63.37279892
NE;NORDESTE;2024-03-15;9642.13183594;68.15370178;9642.13183594;68.15370178
S;SUL;2024-03-15;9587.02636719;135.67840576;9138.84765625;129.33560181
SE;SUDESTE;2024-03-15;43363.26953125;62.77590179;41793.5234375;60.5033989
N;NORTE;2024-03-16;17618.52929688;65.34760284;16826.81835938;62.41109848
NE;NORDESTE;2024-03-16;9023.14355469;63.7784996;9023.14355469;63.7784996
S;SUL;2024-03-16;9252.63574219;130.94599915;8941.60644531;126.54419708
SE;SUDESTE;2024-03-16;43412.953125;62.84780121;41365.29296875;59.88349915
N;NORTE;2024-03-17;17437.74609375;64.67700195;16022.21972656;59.42679977
NE;NORDESTE;2024-03-17;8454.82324219;59.76150131;8454.82324219;59.76150131
S;SUL;2024-03-17;10387.62890625;147.00869751;10050.83496094;142.24229431
SE;SUDESTE;2024-03-17;42458.37109375;61.46590042;39963.6875;57.85440063
N;NORTE;2024-03-18;17294.15820313;64.14450073;15754.79003906;58.43489838
